comune,year,month,t_mean
Arpino,2017,2,5.97
Arpino,2017,3,8.23
Arpino,2017,4,9.67
Arpino,2017,5,14.35
Arpino,2017,6,20.22
Arpino,2017,7,21.64
Arpino,2017,8,23.61
Arpino,2017,9,15.08
Arpino,2017,10,12.17
Arpino,2017,11,6.59
Arpino,2017,12,2.7
Arpino,2018,1,5.2
Arpino,2018,2,2.0
Arpino,2018,3,5.75
Arpino,2018,4,12.95
Arpino,2018,5,14.78
Arpino,2018,6,18.53
Arpino,2018,7,22.11
Arpino,2018,8,20.37
Arpino,2018,9,17.32
Arpino,2018,10,13.54
Arpino,2018,11,8.38
Arpino,2018,12,4.16
Arpino,2019,1,0.67
Arpino,2019,2,4.51
Arpino,2019,3,8.18
Arpino,2019,4,9.34
Arpino,2019,5,10.39
Arpino,2019,6,21.07
Arpino,2019,7,22.01
Arpino,2019,8,22.29
Arpino,2019,9,17.56
Arpino,2019,10,13.82
Arpino,2019,11,8.96
Arpino,2019,12,5.45
Arpino,2020,1,3.8
Arpino,2020,2,5.87
Arpino,2020,3,6.43
Arpino,2020,4,10.14
Arpino,2020,5,14.72
Arpino,2020,6,16.7
Arpino,2020,7,21.4
Arpino,2020,8,22.38
Arpino,2020,9,17.57
Arpino,2020,10,10.75
Arpino,2020,11,8.75
Arpino,2020,12,4.68
Arpino,2021,1,2.4
Arpino,2021,2,6.1
Arpino,2021,3,5.62
Arpino,2021,4,8.09
Arpino,2021,5,13.34
Arpino,2021,6,19.49
Arpino,2021,7,22.44
Arpino,2021,8,21.92
Arpino,2021,9,17.91
Arpino,2021,10,11.48
Arpino,2021,11,8.99
Arpino,2021,12,3.87
Arpino,2022,1,3.19
Arpino,2022,2,5.01
Arpino,2022,3,5.02
Arpino,2022,4,9.28
Arpino,2022,5,16.13
Arpino,2022,6,22.37
Arpino,2022,7,24.22
Arpino,2022,8,21.89
Arpino,2022,9,16.94
Arpino,2022,10,14.56
Arpino,2022,11,8.56
Arpino,2022,12,6.79
Arpino,2023,1,3.49
Arpino,2023,2,4.25
Arpino,2023,3,7.68
Arpino,2023,4,8.62
Arpino,2023,5,13.47
Arpino,2023,6,18.52
Arpino,2023,7,23.43
Arpino,2023,8,21.3
Arpino,2023,9,18.65
Arpino,2023,10,16.03
Arpino,2023,11,8.61
Arpino,2023,12,5.87
Arpino,2024,1,5.29
Arpino,2024,2,7.37
Arpino,2024,3,8.81
Arpino,2024,4,11.36
Arpino,2024,5,14.58
Arpino,2024,6,20.38
Arpino,2024,7,24.8
Arpino,2024,8,24.27
Arpino,2024,9,16.88
Arpino,2024,10,14.32
Arpino,2024,11,8.06
Arpino,2024,12,4.1
Arpino,2025,1,5.15
Arpino,2025,2,5.86
Arpino,2025,3,8.15
Arpino,2025,4,10.96
Arpino,2025,5,13.79
Arpino,2025,6,22.27
Arpino,2025,7,22.15
Arpino,2025,8,20.93
Arpino,2025,9,18.19
Arpino,2025,10,11.89
Arpino,2025,11,7.9
Arpino,2025,12,5.34
Arpino,2026,1,4.22
Arpino,2026,2,6.87
Arpino,2026,3,7.2
Arpino,2026,4,12.4
Arpino,2026,5,14.58
Arpino,2026,6,20.15
Atina,2011,1,4.39
Atina,2011,2,4.39
Atina,2011,3,6.94
Atina,2011,4,11.31
Atina,2011,5,15.25
Atina,2011,6,19.62
Atina,2011,7,21.02
Atina,2011,8,22.97
Atina,2011,9,20.47
Atina,2011,10,13.6
Atina,2011,11,9.04
Atina,2011,12,6.17
Atina,2012,1,3.58
Atina,2012,2,1.62
Atina,2012,3,9.89
Atina,2012,4,11.48
Atina,2012,5,14.71
Atina,2012,6,21.31
Atina,2012,7,23.68
Atina,2012,8,24.48
Atina,2012,9,18.78
Atina,2012,10,14.71
Atina,2012,11,11.08
Atina,2012,12,4.24
Atina,2013,1,4.66
Atina,2013,2,3.85
Atina,2013,3,8.22
Atina,2013,4,12.8
Atina,2013,5,14.77
Atina,2013,6,18.51
Atina,2013,7,21.79
Atina,2013,8,22.76
Atina,2013,9,18.47
Atina,2013,10,15.39
Atina,2013,11,9.53
Atina,2013,12,5.39
Atina,2014,1,6.51
Atina,2014,2,8.28
Atina,2014,3,7.36
Atina,2014,4,11.68
Atina,2014,5,14.41
Atina,2014,6,19.41
Atina,2014,7,20.33
Atina,2014,8,21.49
Atina,2014,9,18.1
Atina,2014,10,15.09
Atina,2014,11,11.64
Atina,2014,12,6.04
Atina,2015,1,5.09
Atina,2015,2,4.89
Atina,2015,3,8.31
